#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Mailignant Neoplasms of Male Genital Organs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,247,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,553,NA,NA,NA,NA,NA,NA,NA,553,NA,NA
Maintaining A Job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,311,175,195,995,486,244,309,498,"1,306","1,306",NA,NA,265,265,504,504,"1,306","1,306",NA,NA,265,265,504,504
Male Infertility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,"1,008",NA,NA,NA,787,NA,NA,NA,NA,NA,NA,"1,795","1,795",NA,NA,NA,NA,NA,NA,"1,795","1,795",NA,NA
Malignant Melanoma of Skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,NA,NA,93,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
Malignant Neoplasm of Bladder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,96,NA,NA,NA,93,NA,NA,NA,NA,NA,188,188,NA,NA,NA,NA,NA,NA,188,188,NA,NA,NA,NA
Malignant Neoplasm of Bronchus and Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,199,NA,NA,NA,383,NA,NA,NA,NA,NA,582,582,NA,NA,NA,NA,NA,NA,582,582,NA,NA,NA,NA
Malignant Neoplasm of Cervix Uteri,NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,"1,326",NA,NA,NA,479,NA,NA,NA,NA,NA,NA,NA,119,119,NA,NA,NA,NA,NA,NA,119,119
Malignant Neoplasm of Corpus Uteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,NA,NA,67,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,252,155,NA,NA,NA,NA,NA,NA,252,155
"Malignant Neoplasm of Kidney, Except Renal Pelvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malignant Neoplasm of Ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,788","23,788",NA,NA,NA,NA,NA,NA,"23,788","23,788"
Malignant Neoplasm of Pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,58,NA,NA,NA,57,NA,NA,NA,NA,NA,115,115,NA,NA,NA,NA,NA,NA,115,115,NA,NA,NA,NA
Malignant Neoplasm of Prostate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malignant Neoplasm of Stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,138,NA,NA,NA,241,NA,NA,NA,NA,NA,379,379,NA,NA,NA,NA,NA,NA,379,379,NA,NA,NA,NA
Malignant Neoplasm of Thyroid Gland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,NA,NA,40,NA,NA,NA,97,NA,120,NA,NA,NA,NA,NA,137,137,NA,NA,NA,NA,NA,NA,137,137
Malignant Neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"6,470","6,470",NA,NA,NA,NA,NA,NA,"6,470","6,470",NA,NA,NA,NA,NA,NA
Malignant Neoplasms of Digestive Organs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,295,NA,NA,NA,516,NA,NA,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,810,810,NA,NA,NA,NA
Malignant Neoplasms of Male Genital Organs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,234,NA,NA,NA,341,NA,NA,NA,NA,NA,NA,575,575,NA,NA,NA,NA,NA,NA,575,575,NA,NA
Malignant Neoplasms of the Breast,NA,NA,0.554,NA,NA,NA,0.276,NA,NA,NA,0.096,NA,NA,NA,0.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,"5,675",NA,NA,NA,"10,257",NA,NA,NA,NA,NA,NA,NA,"1,052",NA,NA,NA,NA,NA,NA,NA,"1,052","1,052"
Menstruation Functions,NA,NA,0.629,NA,NA,NA,0.252,NA,NA,NA,0.035,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA,0.600,0.543,NA,NA,NA,NA,NA,NA,0.049,0.040,NA,NA,NA,NA,NA,NA,0.042,0.006,NA,NA,NA,NA,NA,NA,0.026,0.007,0,0,26,0,0,0,26,1,0,0,0,0,0,0,10,19,0,0,0,0,0,0,10,19,NA,NA,"8,528",NA,NA,NA,"5,464",606,NA,NA,NA,NA,NA,NA,"7,269","17,876",NA,NA,NA,NA,NA,NA,"7,269","17,876"
Mental and Behavioural Disorders Due to Use of Cocaine,NA,0.611,NA,NA,NA,0.329,NA,NA,NA,0.028,NA,NA,NA,0.039,NA,NA,NA,NA,0.640,0.616,0.377,0.449,0.539,0.585,NA,NA,0.038,0.061,0.049,0.084,0.097,0.080,NA,NA,0.074,0.090,0.089,0.092,0.216,0.129,NA,NA,0.046,0.086,0.035,0.037,0.134,0.131,1,5,2,1,0,5,2,0,1,1,5,3,20,10,4,4,1,1,5,3,10,10,4,4,668,682,52,718,NA,505,57,NA,"1,386","1,386","7,497","7,006","47,415","13,935","1,897","2,782","1,386","1,386","7,497","7,006","13,695","13,935","1,897","2,782"
Mental and Behavioural Disorders Due to Use of Hallucinogens,NA,0.644,NA,NA,NA,0.389,NA,NA,NA,0.080,NA,NA,NA,0.093,NA,NA,NA,NA,NA,NA,0.373,0.484,NA,0.614,NA,NA,NA,NA,0.060,0.076,NA,0.055,NA,NA,NA,NA,0.101,0.072,NA,0.098,NA,NA,NA,NA,0.029,0.030,NA,0.105,1,5,1,1,0,4,1,0,1,1,0,2,24,12,2,3,1,1,0,2,15,13,2,3,668,638,36,718,NA,453,33,NA,"1,386","1,386",NA,"4,574","56,949","19,204","1,038","2,012","1,386","1,386",NA,"4,574","26,601","20,097","1,038","2,012"
Mental and Behavioural Disorders Due to Use of Opioids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323,NA,NA,NA,NA,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,1,1,1,1,0,0,1,0,1,1,0,0,13,1,2,1,1,1,0,0,3,1,2,1,668,42,16,718,NA,NA,12,NA,"1,386","1,386",NA,NA,"37,310","1,198",996,28,"1,386","1,386",NA,NA,"3,590","1,198",996,28
Mental and Behavioural Disorders Due to Use of Sedatives Or Hypnotics,NA,0.495,NA,NA,NA,0.212,NA,NA,NA,0.084,NA,NA,NA,0.045,NA,NA,NA,NA,0.630,NA,0.300,0.501,NA,0.521,NA,NA,0.012,NA,0.050,0.091,NA,0.022,NA,NA,0.000,NA,0.067,0.023,NA,0.042,NA,NA,0.020,NA,0.027,0.028,NA,0.037,0,5,2,0,0,3,1,0,0,0,3,2,23,10,2,3,0,0,3,2,13,10,2,3,NA,646,41,NA,NA,435,30,NA,NA,NA,"2,412","4,574","56,926","15,809","1,033","2,007",NA,NA,"2,412","4,574","23,206","13,330","1,033","2,007"
Mobility of Joint Functions,NA,0.376,0.619,NA,NA,0.201,0.311,NA,NA,0.016,0.046,NA,NA,0.019,0.051,NA,NA,NA,NA,NA,NA,0.399,NA,0.676,NA,NA,NA,NA,NA,0.025,NA,0.047,NA,NA,NA,NA,NA,0.000,NA,0.000,NA,NA,NA,NA,NA,0.014,NA,0.049,0,3,7,0,0,3,7,0,0,0,0,0,0,3,1,6,0,0,0,0,0,3,1,6,NA,"2,862",189,NA,NA,"2,399",317,NA,NA,NA,NA,NA,NA,"5,261",49,439,NA,NA,NA,NA,NA,"5,261",49,439
Mononeuropathies of Upper Limb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,135,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,298
Mortality From Infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mtdna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,222,NA,NA,159,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,NA
Multiple Myeloma and Malignant Plasma Cell Neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,44,NA,NA,NA,68,NA,NA,NA,NA,NA,112,112,NA,NA,NA,NA,NA,NA,112,112,NA,NA,NA,NA
Multiple Sclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
Necrotizing Enterocolitis of Fetus and Newborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Obstructive and Reflux Uropathy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,"1,875",NA,NA,NA,NA,NA,NA,NA,"1,875",NA,NA
Other Acute Skin Changes Due to Ultraviolet Radiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,64,64,NA,NA,NA,NA,NA,NA,64,64
Other and Unspecified Types of Non-Hodgkin Lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Chronic Obstructive Pulmonary Disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,98,NA,NA,341,NA,NA,NA,NA,439,439,NA,NA,NA,NA,NA,NA,439,439,NA,NA,NA,NA,NA,NA
Other Congenital Malformations of Heart,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Congenital Malformations of Skull and Face Bones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Congenital Malformations of Upper Alimentary Tract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"30,231","30,231",NA,NA,NA,NA,NA,NA,"30,231","30,231",NA,NA,NA,NA,NA,NA
Other Diseases of Digestive System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,NA,"4,098",NA,NA,NA,"3,316",NA,NA,NA,NA,NA,NA,"3,372","7,414",NA,NA,NA,NA,NA,NA,"3,372","7,414",NA,NA
Other Diseases of Oesophagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,339,187,129,NA,751,456,246,NA,NA,NA,"1,073","1,090",NA,NA,NA,NA,NA,NA,"1,073","1,090",NA,NA,NA,NA
Other Disorders of Bladder,NA,NA,0.411,NA,NA,NA,0.252,NA,NA,NA,0.018,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.051,0,0,16,0,0,0,17,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,NA,NA,"2,152",NA,NA,NA,"1,573",NA,NA,NA,NA,NA,NA,NA,NA,"1,007",NA,NA,NA,NA,NA,NA,NA,390
Other Disorders of Cornea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Disorders of Teeth and Supporting Structures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,132,48,71,633,244,79,149,367,765,765,NA,"7,636",127,127,221,221,765,765,NA,"7,636",127,127,221,221
Other Disorders of Urinary System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8,443",NA,NA,NA,NA,NA,NA,NA,"8,443","8,443"
Other Extrapyramidal and Movement Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Headache Syndromes,NA,0.417,NA,NA,NA,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA,0.030,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA,NA,NA,NA,NA,NA,0.029,2,3,2,1,1,1,2,1,1,0,1,2,2,1,2,3,1,1,1,2,2,2,2,3,"3,133","1,520","1,611","4,923","2,720","1,443","1,296","2,203","7,360",NA,848,"13,732","2,952","5,984","3,053","17,597","7,360","7,360",848,"13,732","2,952","8,625","3,053","17,597"
